id,idade,renda,nota,cidade_Belo Horizonte,cidade_Desconhecido,cidade_Rio de Janeiro,cidade_Salvador,cidade_Sao Paulo,categoria_A,categoria_B,feedback_Bom,feedback_Regular,feedback_Ruim
1,30.0,1200.0,8.5,0,0,0,0,1,1,0,1,0,0
2,45.0,2500.0,7.0,0,0,1,0,0,0,1,0,1,0
3,29.0,1200.0,5.5,1,0,0,0,0,1,0,1,0,0
4,55.0,3000.0,7.5,0,0,0,1,0,0,1,0,0,1
5,40.0,2100.0,9.0,0,0,0,0,1,1,0,1,0,0
6,23.0,900.0,7.5,0,1,0,0,0,0,1,0,0,1
7,35.0,1800.0,6.8,0,0,1,0,0,0,1,0,1,0
8,38.0,2500.0,8.2,1,0,0,0,0,1,0,1,0,0
9,29.0,1500.0,7.1,0,0,0,1,0,0,1,0,1,0
10,50.0,2800.0,8.7,0,0,0,0,1,1,0,1,0,0
11,40.0,1500.0,9.2,0,0,0,0,1,1,0,1,0,0
12,46.0,2900.0,6.0,0,0,1,0,0,0,1,0,1,0
13,50.0,3000.0,6.5,0,0,0,1,0,1,0,0,0,1
14,31.0,2300.0,8.0,1,0,0,0,0,0,1,1,0,0
15,38.0,2100.0,7.8,0,0,0,0,1,1,0,1,0,0
16,27.0,1200.0,5.4,0,1,0,0,0,0,1,0,1,0
17,36.0,1850.0,8.9,0,0,1,0,0,1,0,1,0,0
18,41.0,2500.0,7.7,0,0,0,1,0,0,1,0,0,1
19,39.0,2700.0,6.2,1,0,0,0,0,1,0,1,0,0
20,28.0,1600.0,7.5,0,0,0,0,1,0,1,0,1,0
21,22.0,950.0,4.8,0,0,1,0,0,1,0,0,0,1
22,55.0,4500.0,9.5,0,0,0,1,0,1,0,1,0,0
23,47.0,3500.0,7.3,1,0,0,0,0,0,1,0,1,0
24,60.0,5800.0,9.1,0,0,0,0,1,1,0,1,0,0
25,34.0,2200.0,6.9,0,0,1,0,0,0,1,0,0,1
26,28.0,1200.0,5.0,0,1,0,0,0,1,0,1,0,0
27,25.0,980.0,7.2,0,0,0,0,1,0,1,0,1,0
28,58.0,6000.0,8.3,0,0,0,1,0,1,0,1,0,0
29,32.0,2500.0,7.6,1,0,0,0,0,0,1,1,0,0
30,40.0,2253.265306122449,7.1,0,0,0,0,1,1,0,0,1,0
31,39.0,2800.0,6.0,0,0,1,0,0,0,1,0,0,1
32,53.0,2100.0,9.4,1,0,0,0,0,1,0,1,0,0
33,24.0,1000.0,4.3,0,0,0,0,1,0,1,0,1,0
34,28.0,1400.0,7.5,0,0,1,0,0,1,0,1,0,0
35,37.0,1800.0,7.8,0,0,0,1,0,0,1,0,1,0
36,38.0,2300.0,6.7,0,0,0,0,1,0,1,0,0,1
37,43.0,2000.0,8.2,1,0,0,0,0,1,0,1,0,0
38,59.0,3400.0,6.5,0,0,1,0,0,0,1,0,1,0
39,26.0,1050.0,5.9,0,1,0,0,0,1,0,0,0,1
40,42.0,1900.0,8.0,0,0,0,0,1,0,1,1,0,0
41,33.0,2200.0,7.7,0,0,1,0,0,1,0,0,1,0
42,52.0,3100.0,8.8,0,0,0,1,0,0,1,0,0,1
43,28.0,1500.0,9.3,1,0,0,0,0,1,0,1,0,0
44,45.0,3000.0,6.3,0,1,0,0,0,0,1,0,1,0
45,20.0,980.0,5.4,0,0,0,0,1,1,0,1,0,0
46,38.0,2000.0,6.9,0,0,1,0,0,0,1,0,0,1
47,49.0,3600.0,8.5,1,0,0,0,0,1,0,1,0,0
48,28.0,1500.0,7.2,0,0,0,1,0,0,1,0,1,0
49,36.0,1800.0,8.1,0,0,0,0,1,1,0,1,0,0
50,41.0,2200.0,7.6,0,0,1,0,0,0,1,0,0,1
